NAME,S1501_C01_006E,S1501_C01_015E,S1501_C01_016E,S1501_C01_018E,S1501_C01_019E,S1501_C01_021E,S1501_C01_022E,S1501_C01_024E,S1501_C01_025E,S1501_C01_027E
Geographic Area Name,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher
ZCTA5 13803,2676,390,491,110,454,45,1052,107,679,128
ZCTA5 13804,222,35,24,4,37,10,83,14,78,7
ZCTA5 13806,166,33,42,18,5,0,72,3,47,12
ZCTA5 13807,885,227,98,24,138,59,417,81,232,63
ZCTA5 13808,1063,256,250,82,164,50,381,58,268,66
ZCTA5 13809,1131,189,165,69,180,13,440,59,346,48
ZCTA5 13810,928,273,170,58,137,69,464,115,157,31
ZCTA5 13811,2839,678,413,89,596,160,1140,363,690,66
ZCTA5 13812,1656,327,270,71,242,53,658,100,486,103
ZCTA5 13813,557,145,31,0,77,60,305,80,144,5
ZCTA5 13815,9014,1794,1591,291,1480,412,3460,639,2483,452
ZCTA5 13820,12084,4368,2018,751,1680,588,4424,1642,3962,1387
ZCTA5 13825,2132,620,294,121,190,83,936,303,712,113
ZCTA5 13826,15,0,0,0,0,0,0,0,15,0
ZCTA5 13827,8445,2311,1183,408,1136,284,3337,913,2789,706
ZCTA5 13830,3682,676,485,85,592,103,1600,265,1005,223
ZCTA5 13832,426,48,39,18,78,13,214,3,95,14
ZCTA5 13833,2457,474,383,109,408,134,1003,196,663,35
ZCTA5 13834,147,41,21,0,43,32,65,0,18,9
ZCTA5 13835,835,157,123,32,147,25,345,61,220,39
ZCTA5 13838,2718,426,256,76,543,65,1111,178,808,107
ZCTA5 13839,883,113,109,0,58,14,451,60,265,39
ZCTA5 13841,462,73,97,21,39,18,203,21,123,13
ZCTA5 13842,432,63,40,9,62,4,199,43,131,7
ZCTA5 13843,1531,266,294,30,135,37,692,138,410,61
ZCTA5 13844,527,59,47,0,89,9,242,36,149,14
ZCTA5 13845,123,63,0,0,0,0,0,0,123,63
ZCTA5 13846,270,76,55,7,28,0,106,48,81,21
ZCTA5 13847,54,14,10,0,11,0,22,14,11,0
ZCTA5 13849,3346,610,493,137,617,107,1283,161,953,205
ZCTA5 13850,14860,6860,1859,980,2079,1088,6144,3022,4778,1770
ZCTA5 13856,4281,839,514,99,563,134,1940,354,1264,252
ZCTA5 13859,130,6,0,0,11,6,75,0,44,0
ZCTA5 13860,7,0,7,0,0,0,0,0,0,0
ZCTA5 13861,252,162,27,18,4,4,51,31,170,109
ZCTA5 13862,2950,563,464,100,467,69,1240,228,779,166
